year,Region,Attack.Type,Percentage
1983,MENA,Hostage taking/assassinaton,31
1983,MENA,Other,8
1983,North America,Armed Assault,2
1983,North America,Bombing/Explosion,20
1983,North America,Facility/Infrastructure Attack,10
1983,North America,Hostage taking/assassinaton,7
1983,North America,Other,8
1983,South America,Armed Assault,234
1983,South America,Bombing/Explosion,375
1983,South America,Facility/Infrastructure Attack,47
1983,South America,Hostage taking/assassinaton,234
1983,South America,Other,60
1983,South Asia,Armed Assault,4
1983,South Asia,Bombing/Explosion,35
1983,South Asia,Facility/Infrastructure Attack,1
1983,South Asia,Hostage taking/assassinaton,19
1983,South Asia,Other,4
1983,Sub-Saharan Africa,Armed Assault,5
1983,Sub-Saharan Africa,Bombing/Explosion,69
1983,Sub-Saharan Africa,Facility/Infrastructure Attack,2
1983,Sub-Saharan Africa,Hostage taking/assassinaton,22
1983,Sub-Saharan Africa,Other,8
1984,Asia-Pacific,Armed Assault,4
1984,Asia-Pacific,Bombing/Explosion,10
1984,Asia-Pacific,Facility/Infrastructure Attack,17
1984,Asia-Pacific,Hostage taking/assassinaton,21
1984,Asia-Pacific,Other,20
1984,Central America & Caribbean,Armed Assault,430
1984,Central America & Caribbean,Bombing/Explosion,162
1984,Central America & Caribbean,Facility/Infrastructure Attack,23
1984,Central America & Caribbean,Hostage taking/assassinaton,56
1984,Central America & Caribbean,Other,10
1984,Central Asia,Armed Assault,0
1984,Central Asia,Bombing/Explosion,0
1984,Central Asia,Facility/Infrastructure Attack,0
1984,Central Asia,Hostage taking/assassinaton,0
1984,Central Asia,Other,0
1984,Europe,Armed Assault,38
1984,Europe,Bombing/Explosion,359
1984,Europe,Facility/Infrastructure Attack,29
1984,Europe,Hostage taking/assassinaton,112
1984,Europe,Other,7
1984,MENA,Armed Assault,44
1984,MENA,Bombing/Explosion,160
1984,MENA,Facility/Infrastructure Attack,5
1984,MENA,Hostage taking/assassinaton,47
1984,MENA,Other,12
1984,North America,Armed Assault,1
